,F3 alpha,F3 beta,F4 alpha,F4 beta,C3 alpha,C3 beta,C4 alpha,C4 beta,Fp1 alpha,Fp1 beta,Fp2 alpha,Fp2 beta,O1 gamma,O2 gamma
50,3.0600151162076195e-08,2.6394063398581364e-08,1.2127403758663785e-07,4.340503275493348e-08,-3.438028182328085e-08,1.3300500697622043e-09,6.269581607740412e-08,1.2747359881040402e-08,4.020178721043169e-10,-6.419225098566621e-10,8.827641847433955e-08,1.1928300303765095e-08,-3.1071711792949406e-09,2.6815071004194717e-08
51,-6.713001260483246e-08,-1.2040614273115136e-08,-8.572259566097828e-08,-2.5957672655123943e-08,9.917501304446809e-09,3.409290127587719e-08,-7.324770461715695e-08,-3.636361919359312e-08,-2.896107815771174e-11,-1.8165597905171213e-10,-9.980680002727718e-08,-1.9376374037669485e-08,7.710371834816965e-09,-2.9247336076930585e-08
52,-6.061586639052291e-09,2.8705895418606705e-08,4.198889697720063e-08,2.80770349743084e-08,-3.5088417505030173e-08,-2.0517428932771702e-08,3.354483860914602e-08,4.848701230471679e-08,-7.931272220663532e-11,6.007103701432907e-10,1.6780321860438175e-09,4.952504817401715e-08,1.7282368741706065e-08,1.1611706121472494e-08
53,-6.86546011989205e-08,-7.899928208822872e-08,-1.2987588974269208e-07,-8.410994605277963e-08,-3.218235497078299e-09,-1.5922775991731143e-08,-1.0195658833985665e-07,-7.630312554589215e-08,-2.2189020986179836e-09,-1.008852373493473e-09,-9.704009413139478e-08,-1.0424666954350846e-07,-2.7539161583168006e-09,3.096350567247878e-08
54,9.289809561870733e-08,4.47008050175234e-08,1.2339081118232763e-07,4.440717641632152e-08,1.5853284690859199e-09,8.346532474836496e-09,7.640156349738831e-08,3.474022109380905e-08,-1.003732746897378e-09,-7.068892915138243e-11,5.1284609112872246e-08,5.560470226859002e-08,-2.1054998239349278e-08,-1.7913566512426254e-08
55,4.3962210175612635e-08,2.0570025072360734e-08,-3.144258864709502e-08,3.3900033883660673e-09,4.4532062203787655e-08,1.5095270232742102e-08,2.90101191937866e-09,-1.602596993125632e-09,4.2173976902336175e-10,-3.073454281204524e-10,4.061237018415444e-08,1.018802482874877e-08,-8.217330893771166e-09,-2.4046490029341678e-08
56,-2.5968169820911e-09,-2.3468754262326697e-08,3.686183304022458e-08,-2.0999921072633248e-08,2.5161502926203956e-08,-2.3745706755192515e-08,7.902493807420489e-09,-2.9392483892303974e-08,1.2870574409078221e-09,7.087638021858018e-10,3.75835565016064e-09,-8.717723352311415e-09,6.228294821095729e-09,5.048593619188038e-09
57,-1.345313514550168e-07,-5.5295477964346365e-08,-8.2221675522836e-08,8.107051017168578e-09,-5.6219298297009765e-08,-6.2982841869145255e-09,-3.1543018484006484e-08,3.109808755995568e-08,-9.39988960052689e-11,-8.47533002313459e-10,-1.077033111803621e-07,-5.6529273226805076e-08,-1.237172444670923e-10,2.0947583295519614e-08
58,1.1004610150337413e-07,1.1365292607509201e-07,5.937429783852752e-08,6.209553895902555e-08,5.8588266006255636e-08,7.105234756378682e-08,6.365695868525859e-08,5.152967119775099e-08,1.7670073027206786e-09,1.248639182096316e-09,1.2097976407619152e-07,1.1313900275754757e-07,-9.099681615898643e-10,-1.2651223091282504e-08
59,-6.191656201645658e-08,-6.508226452691945e-08,-8.468240633544874e-08,-5.714865723021838e-08,-7.199075714570292e-08,-4.733395632614078e-08,-9.602860570030825e-08,-5.8597082615916624e-08,9.663373985687329e-10,3.343373819602608e-11,-1.0084916121095309e-07,-6.31785217612794e-08,7.966219464162561e-09,1.408311107198169e-08
60,1.6273826262961394e-07,3.2810942518700123e-08,1.5809508894747733e-07,4.065787121485319e-08,6.127526473805794e-08,-1.618730028978929e-08,1.1261034746298228e-07,6.168335014418378e-08,-4.476002421487759e-09,-1.3030006131087145e-09,1.9116920249985736e-07,4.691922558688986e-08,-1.3767056686934736e-09,2.3427237864551287e-09
61,-2.3121588756425427e-08,-7.740613562555015e-09,-2.0103005884734602e-08,-1.5663187753083867e-08,2.3607451743807453e-08,3.20262917826779e-08,-1.0406314548003155e-07,-8.041878608033809e-08,3.6352622969475414e-09,6.637606621978022e-10,-1.2872332973747282e-07,-5.6637163042855594e-08,-2.0053194115688518e-10,-1.9366266002405668e-08
62,-5.663597347921482e-08,-1.624463780925025e-08,-1.0872276877341273e-07,-4.441783310018985e-08,4.123512774097123e-09,-1.4164099861719088e-08,1.6304728226496758e-08,1.4457369620826764e-08,-2.605402199991596e-09,-1.8649542453184823e-10,6.9990908304738776e-09,1.7337368047127434e-08,-4.21021000321055e-09,5.615463690096958e-10
63,-7.754504335750235e-08,8.753694683388751e-09,2.8902842467774524e-08,5.076166141123512e-08,-4.6702441405118126e-08,1.4823543322592436e-08,9.282792894918673e-08,4.405915760371823e-08,1.6945729599012378e-09,8.469412949191425e-10,1.948478222266608e-08,4.767686846151004e-09,1.0385314577781329e-10,9.318668734977062e-09
